,elite_avg,best,Elite average windowed (50)
890,888,888,888
891,888,888,888
892,888,888,888
893,888,888,888
894,888,888,888
895,888,888,888
896,888,888,888
897,888,888,888
898,888,888,888
899,888,888,888
900,888,888,888
901,888,888,888
902,888,888,888
903,888,888,888
904,888,888,888
905,888,888,888
906,888,888,888
907,888,888,888
908,888,888,888
909,888,888,888
910,888,888,888
911,888,888,888
912,888,888,888
913,888,888,888
914,888,888,888
915,888,888,888
916,888,888,888
917,888,888,888
918,888,888,888
919,888,888,888
920,888,888,888
921,888,888,888
922,888,888,888
923,888,888,888
924,888,888,888
925,888,888,888
926,888,888,888
927,888,888,888
928,888,888,888
929,888,888,888
930,888,888,888
931,888,888,888
932,888,888,888
933,888,888,888
934,888,888,888
935,888,888,888
936,888,888,888
937,888,888,888
938,888,888,888
939,888,888,888
940,888,888,888
941,888,888,888
942,888,888,888
943,888,888,888
944,888,888,888
945,888,888,888
946,888,888,888
947,888,888,888
948,888,888,888
949,888,888,888
950,888,888,888
951,888,888,888
952,888,888,888
953,888,888,888
954,888,888,888
955,888,888,888
956,888,888,888
957,888,888,888
958,888,888,888
959,888,888,888
960,888,888,888
961,888,888,888
962,888,888,888
963,888,888,888
964,888,888,888
965,888,888,888
966,888,888,888
967,888,888,888
968,888,888,888
969,888,888,888
970,888,888,888
971,888,888,888
972,888,888,888
973,888,888,888
974,888,888,888
975,888,888,888
976,888,888,888
977,888,888,888
978,888,888,888
979,888,888,888
980,888,888,888
981,888,888,888
982,888,888,888
983,888,888,888
984,888,888,888
985,888,888,888
986,888,888,888
987,888,888,888
988,888,888,888
989,888,888,888
990,888,888,888
991,888,888,888
992,888,888,888
993,888,888,888
994,888,888,888
995,888,888,888
996,888,888,888
997,888,888,888
998,888,888,888
999,888,888,888
